800) Scaler: Robust, classifier: SGD-sei-e--1, mean: 0.2646022898402084, class wrong: [399, 117, 122, 52]
763) Scaler: Robust, classifier: SGD-ei-l2--6, mean: 0.2646191012951632, class wrong: [538, 146, 102, 37]
481) Scaler: MinMax, classifier: SGD-sl-e--2, mean: 0.26490148697603677, class wrong: [331, 188, 75, 51]
768) Scaler: Robust, classifier: SGD-sei-e--6, mean: 0.26567255678601936, class wrong: [538, 172, 85, 46]
151) Scaler: MaxAbs, classifier: SGD-ei-e--4, mean: 0.26662858278642493, class wrong: [104, 187, 142, 50]
65) Scaler: MaxAbs, classifier: SGD-p-l1--1, mean: 0.2669779874193935, class wrong: [640, 0, 146, 54]
449) Scaler: MinMax, classifier: SGD-sl-e--4, mean: 0.2687991192201592, class wrong: [58, 195, 146, 50]
1440) Scaler: None, classifier: SGD-sei-l1-2, mean: 0.27075396032345156, class wrong: [640, 195, 40, 48]
1068) Scaler: Standard, classifier: SGD-sei-e--6, mean: 0.2708485423635999, class wrong: [403, 92, 119, 52]
1437) Scaler: None, classifier: SGD-sl-l1-2, mean: 0.2711390039767202, class wrong: [0, 195, 146, 54]
1385) Scaler: None, classifier: SGD-sl-n--2, mean: 0.2711758750501276, class wrong: [89, 168, 146, 54]
1386) Scaler: None, classifier: SGD-hu-n--2, mean: 0.27179554739676187, class wrong: [640, 195, 109, 22]
1432) Scaler: None, classifier: SGD-sei-e-1, mean: 0.2717985867535589, class wrong: [467, 87, 100, 42]
1117) Scaler: Standard, classifier: SGD-sl-n-0, mean: 0.2721575963939162, class wrong: [565, 139, 127, 25]
741) Scaler: Robust, classifier: SGD-sl-l1--4, mean: 0.27248116733990013, class wrong: [415, 123, 127, 42]
1055) Scaler: Standard, classifier: SGD-ei-n--4, mean: 0.27279531734154766, class wrong: [550, 84, 71, 24]
1092) Scaler: Standard, classifier: SGD-sei-l1--1, mean: 0.27304111733324715, class wrong: [580, 102, 55, 54]
751) Scaler: Robust, classifier: SGD-ei-e--4, mean: 0.27329897129698427, class wrong: [354, 141, 118, 45]
1061) Scaler: Standard, classifier: SGD-sl-l2--6, mean: 0.27342271043226124, class wrong: [445, 191, 95, 47]
165) Scaler: MaxAbs, classifier: SGD-sl-e--6, mean: 0.2737337436303961, class wrong: [0, 195, 146, 54]
157) Scaler: MaxAbs, classifier: SGD-sl-l1--6, mean: 0.27404152359237194, class wrong: [442, 175, 28, 54]
1041) Scaler: Standard, classifier: SGD-sl-l1--4, mean: 0.2747909821037594, class wrong: [274, 192, 115, 37]
155) Scaler: MaxAbs, classifier: SGD-ei-n--4, mean: 0.27488554976235724, class wrong: [306, 194, 146, 12]
743) Scaler: Robust, classifier: SGD-ei-l1--4, mean: 0.2768075594437075, class wrong: [361, 172, 88, 49]
